polisa,os_aneks_fakturaid,naplata_do_period,dolg,lc_bodovi,lc_iznos_bod,promotor_bodovi,lc_presmetki,promotor_presmetki,pricina
28/005517,5716228,30.0,30.0,0,0.0,2,0,1,IMA_PRESMETKA
28/005517,5716239,1.67,1.67,0,0.0,2,0,1,IMA_PRESMETKA
28/005517,5716240,1.67,1.67,0,0.0,2,0,1,IMA_PRESMETKA
28/005517,5716251,2.63,2.63,0,0.0,2,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005517,5716252,2.63,2.63,0,0.0,2,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005555,5791367,30.0,30.0,0,0.0,26,0,2,IMA_PRESMETKA
28/005555,5791368,12.73,30.0,0,0.0,26,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
28/005555,5791379,1.67,1.67,0,0.0,26,0,1,IMA_PRESMETKA
28/005555,5791391,10.65,10.65,0,0.0,26,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005586,5859751,41.67,41.67,0,0.0,2,0,1,IMA_PRESMETKA
28/005586,5859763,1.67,1.67,0,0.0,2,0,1,IMA_PRESMETKA
28/005586,5859775,5.95,5.95,0,0.0,2,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005602,5957806,50.0,50.0,0,0.0,0,0,0,NEMA_BODOVI
28/005602,5957807,50.0,50.0,0,0.0,0,0,0,NEMA_BODOVI
28/005667,5236254,50.0,50.0,0,0.0,8,0,3,IMA_PRESMETKA
28/005667,6056752,50.0,50.0,0,0.0,8,0,3,IMA_PRESMETKA
28/005667,6056764,1.67,1.67,0,0.0,8,0,3,IMA_PRESMETKA
28/005667,6056776,7.59,7.59,0,0.0,8,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005756,5393385,1.67,1.67,0,0.0,0,0,0,NEMA_BODOVI
28/005756,5393397,80.0,80.0,0,0.0,0,0,0,NEMA_BODOVI
28/005764,5426892,80.0,80.0,0,0.0,0,0,0,NEMA_BODOVI
28/005764,5426904,1.67,1.67,0,0.0,0,0,0,NEMA_BODOVI
28/005812,5592918,30.0,30.0,0,0.0,28,0,4,IMA_PRESMETKA
28/005812,5592919,13.6,30.0,0,0.0,28,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
28/005812,5592930,1.67,1.67,0,0.0,28,0,4,IMA_PRESMETKA
28/005812,5592942,6.94,6.94,0,0.0,28,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
28/005831,5662924,100.0,100.0,5,1122.32,0,4,0,IMA_PRESMETKA
28/005831,5662925,100.0,100.0,5,1122.32,0,4,0,IMA_PRESMETKA
28/005831,5662936,1.67,1.67,5,1122.32,0,4,0,IMA_PRESMETKA
28/005831,5662937,1.67,1.67,5,1122.32,0,4,0,IMA_PRESMETKA
28/005831,5662948,2.25,2.25,5,1122.32,0,4,0,IMA_PRESMETKA
28/005831,5662949,2.25,2.25,5,1122.32,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
28/005834,5663097,45.83,45.83,0,0.0,0,0,0,NEMA_BODOVI
28/005834,5663098,45.83,45.83,0,0.0,0,0,0,NEMA_BODOVI
28/005834,5663099,45.83,45.83,0,0.0,0,0,0,NEMA_BODOVI
28/005834,5663111,1.67,1.67,0,0.0,0,0,0,NEMA_BODOVI
